analysis_time_ms,res_width,res_height,pixels_per_module,avg_luminance,AE_AF_status,sharpness,payload_preview
1780402925954,700,700,7.216,108.244,AE/OFF AF/OFF ,31813.398,""
1780402925984,700,700,7.216,108.724,AE/OFF AF/OFF ,32328.360,""
1780402926019,700,700,7.216,109.056,AE/OFF AF/OFF ,32388.407,""
1780402926050,700,700,7.216,108.801,AE/OFF AF/OFF ,32330.367,""
1780402926085,700,700,7.216,104.653,AE/OFF AF/OFF ,32184.116,""
1780402926118,700,700,6.453,107.681,AE/OFF AF/OFF ,34151.747,"00000205|1780399564882|WaJUMAqyarRDlVHhY35AtnKK2kEf6xKRUydaeOVQVAbHM4wUb5AZhWjEwcBIedckprMZV6Y5q1d4DpVGBTxugMt6NotMyUgSVK1galQtfV8asc1jBvZSp46xSkUrvXHP4Qby229XQArTf0sh1J0Xc7z7zx5TdD7lpFxbmDlDMfN9hPqbn..."
1780402926152,700,700,6.465,108.163,AE/OFF AF/OFF ,34495.590,"00000205|1780399564882|WaJUMAqyarRDlVHhY35AtnKK2kEf6xKRUydaeOVQVAbHM4wUb5AZhWjEwcBIedckprMZV6Y5q1d4DpVGBTxugMt6NotMyUgSVK1galQtfV8asc1jBvZSp46xSkUrvXHP4Qby229XQArTf0sh1J0Xc7z7zx5TdD7lpFxbmDlDMfN9hPqbn..."
1780402926185,700,700,6.464,108.656,AE/OFF AF/OFF ,34910.220,"00000205|1780399564882|WaJUMAqyarRDlVHhY35AtnKK2kEf6xKRUydaeOVQVAbHM4wUb5AZhWjEwcBIedckprMZV6Y5q1d4DpVGBTxugMt6NotMyUgSVK1galQtfV8asc1jBvZSp46xSkUrvXHP4Qby229XQArTf0sh1J0Xc7z7zx5TdD7lpFxbmDlDMfN9hPqbn..."
1780402926220,700,700,7.216,108.691,AE/OFF AF/OFF ,35088.648,""
1780402926249,700,700,7.216,108.529,AE/OFF AF/OFF ,35556.097,""
1780402926284,700,700,6.493,108.442,AE/OFF AF/OFF ,35645.093,"00000205|1780399564882|WaJUMAqyarRDlVHhY35AtnKK2kEf6xKRUydaeOVQVAbHM4wUb5AZhWjEwcBIedckprMZV6Y5q1d4DpVGBTxugMt6NotMyUgSVK1galQtfV8asc1jBvZSp46xSkUrvXHP4Qby229XQArTf0sh1J0Xc7z7zx5TdD7lpFxbmDlDMfN9hPqbn..."
1780402926323,700,700,7.216,108.631,AE/OFF AF/OFF ,34522.875,""
1780402926353,700,700,7.216,108.635,AE/OFF AF/OFF ,34936.375,""
1780402926384,700,700,7.216,106.720,AE/OFF AF/OFF ,35055.119,""
1780402926416,700,700,6.529,112.478,AE/OFF AF/OFF ,35167.219,"00000206|1780399565085|uEq8Nm4KW9bckeE3PvdZjOXfeiXFsAQca40aZw4wxLL21axwgg8PjWWKd46uTrgzlYGr4OaW9XT7vPE74C1edwheYTAzrjHon5921eMg2kTabz8nzw1AJigsd7lPLcZXgMenZJBPebzWujjmxBMGdzaIkNnTmMWV8LXpbx16FjljqB3SY..."
1780402926451,700,700,7.216,109.439,AE/OFF AF/OFF ,35363.364,""
1780402926486,700,700,7.216,112.287,AE/OFF AF/OFF ,28886.952,""
1780402926517,700,700,6.634,111.392,AE/OFF AF/OFF ,27540.663,"00000207|1780399565288|vuccxJ2y13O5McTrNTzGOwc68kYXRTX1ML9LUU5fTlSJFXnbWE1Gu3VQhaR2cFwr6fnEWjdXyRoas56SWiCrCkTKaqpQvIHbkEYRDQkI7zOHTqcMKV342vUa2tbkotGmtSIh16ZMcHg19HwS7018kCjtGwmKI5Bwbyl6RWuj2wF3H5hq8..."
